# Prim/Sec, RegionCode, ShortCode, Primary Name, Secondary Name, ...
#
# edge cases and exceptions:
#
# Rainy River - the airport has no IATA or ICAO code, so use Canadian code
# Busingen - too small to have any airport of any kind, so use BUSI
# Palestine - use closed/abandoned airports
# Ulan Batur - use an airport still under construction


P,MX,MZT,America/Mazatlan,Mexico/BajaSur
P,MX,MID,America/Merida
P,MX,MEX,America/Mexico_City,Mexico/General
P,MX,MTY,America/Monterrey
P,MX,CJS,America/Ojinaga
P,MX,TIJ,America/Tijuana,Mexico/BajaNorte,America/Ensenada,America/Santa_Isabel
P,MY,KUL,Asia/Kuala_Lumpur
P,MY,KCH,Asia/Kuching
P,MZ,MZ,Africa/Maputo
P,NA,NA,Africa/Windhoek
P,NC,NC,Pacific/Noumea
P,NE,NE,Africa/Niamey
P,NF,NF,Pacific/Norfolk
P,NG,NG,Africa/Lagos
P,NI,NI,America/Managua
P,NL,NL,Europe/Amsterdam
P,NO,NO,Europe/Oslo
P,NP,NP,Asia/Kathmandu,Asia/Katmandu
P,NR,NR,Pacific/Nauru
P,NU,NU,Pacific/Niue
P,NZ,NZ,Pacific/Auckland,NZ
P,NZ,CHT,Pacific/Chatham,NZ-CHAT
P,OM,OM,Asia/Muscat
P,PA,PA,America/Panama
P,PE,PE,America/Lima
P,PF,GMR,Pacific/Gambier
P,PF,NHV,Pacific/Marquesas
P,PF,PPT,Pacific/Tahiti
P,PG,BUA,Pacific/Bougainville
P,PG,POM,Pacific/Port_Moresby
P,PH,PH,Asia/Manila
P,PK,PK,Asia/Karachi
P,PL,PL,Europe/Warsaw,Poland
P,PM,PM,America/Miquelon
P,PN,PN,Pacific/Pitcairn
P,PR,PR,America/Puerto_Rico
P,PS,GZA,Asia/Gaza
P,PS,JRS,Asia/Hebron
P,PT,PDL,Atlantic/Azores
P,PT,FNC,Atlantic/Madeira
P,PT,PT,Europe/Lisbon,Portugal
P,PW,PW,Pacific/Palau
P,PY,PY,America/Asuncion
P,QA,QA,Asia/Qatar
P,RE,RE,Indian/Reunion
P,RO,RO,Europe/Bucharest
P,RS,RS,Europe/Belgrade
P,RU,DYR,Asia/Anadyr
P,RU,BAX,Asia/Barnaul
P,RU,HTA,Asia/Chita
P,RU,IKT,Asia/Irkutsk
P,RU,PKC,Asia/Kamchatka
P,RU,KDY,Asia/Khandyga
P,RU,KJA,Asia/Krasnoyarsk
P,RU,GDX,Asia/Magadan
P,RU,NOZ,Asia/Novokuznetsk
P,RU,OVB,Asia/Novosibirsk
P,RU,OMS,Asia/Omsk
P,RU,UUS,Asia/Sakhalin
P,RU,SEK,Asia/Srednekolymsk
P,RU,TOF,Asia/Tomsk
P,RU,USR,Asia/Ust-Nera
P,RU,VVO,Asia/Vladivostok
P,RU,YKS,Asia/Yakutsk
P,RU,SVX,Asia/Yekaterinburg
P,RU,ASF,Europe/Astrakhan
P,RU,KGD,Europe/Kaliningrad
P,RU,KVX,Europe/Kirov
P,RU,SVO,Europe/Moscow,W-SU
